address,national_phone,lat,lon,rating,google_maps_uri,website,user_rating_count,name,primary_type_display,price_level
"Esenkent, Kani Paşa Cd. No:2 D:24, 34848 Maltepe/İstanbul",,40.9213755,29.166573,4.6,https://maps.google.com/?cid=1428159212155158940,https://www.tikla.com.tr/ozum-pasta-cafe.html,164.0,Õzüm Pasta Cafe,Çay/Kahve,
"Altayçeşme, Çamlı Sk No:4-6 d, 34843 Maltepe/İstanbul",,40.933934,29.1335236,4.6,https://maps.google.com/?cid=3314947669305215920,,159.0,Føll Coffee,Çay/Kahve,
"Feyzullah, Bağdat Cad. 328 B, 34500 Maltepe/İstanbul",,40.92747,29.129251999999997,4.6,https://maps.google.com/?cid=8949369481409832445,http://www.pizzalinaras.com.tr/,163.0,Maltepe Pizza Linaras,Pizza,
"Bağlarbaşı, Feyzullah Cd. NO:.116 B, 34843 Maltepe/İstanbul",0538 419 78 71,40.9291454,29.142563000000003,4.9,https://maps.google.com/?cid=13380538438374327630,,128.0,ALWAYS WAFFLE MALTEPE,Çay/Kahve,
"Altayçeşme mahallesi seri sokak Evin park tepe sitesi b blok no:18 22BF, Altayçeşme, 34843 Maltepe/İstanbul",(0216) 759 53 52,40.9369976,29.1337992,4.6,https://maps.google.com/?cid=2208035207209778232,https://www.instagram.com/pizzafelicitaa/?ref=badge,527.0,Pizza Felicita,Pizza,₺₺
"Batı, Dr. Orhan Maltepe Cd. 52/A, 34890 Pendik/İstanbul",(0216) 354 27 27,40.878295,29.233159999999994,4.5,https://maps.google.com/?cid=10003840957147261236,https://gaziburmamustafa.com/,6644.0,Gaziburma Mustafa,Tatlı,
"Batı, Sabri Taşkın Cd. No:19/A, 34890 Pendik/İstanbul",444 1 034,40.8775041,29.2301484,4.7,https://maps.google.com/?cid=2662957424682659986,https://tesislerimiz.ibb.istanbul/pendik-kent-lokantasi/,218.0,İBB Pendik Kent Lokantası,Restoran,₺
"Batı, 34890 Pendik/İstanbul",(0216) 511 40 22,40.8715603,29.2347053,4.6,https://maps.google.com/?cid=11150841273851375652,http://www.cantinedelfrida.com/,2013.0,Cantine del Frida,Türk Mutfağı,₺₺
"Batı, Erol Kaya Cd No: 81/A, 34890 Pendik/İstanbul",444 8 464,40.875998,29.2308126,4.7,https://maps.google.com/?cid=5262807627805276549,https://www.espressolab.com/subeler/,131.0,Espressolab Pendik Saat Kulesi,Çay/Kahve,₺₺
"Batı, Burhan Toprak Cd., 34890 Pendik/İstanbul",(0216) 354 25 66,40.8774187,29.2274216,4.5,https://maps.google.com/?cid=312790004765199324,,484.0,Akçal Fırın,Fırın,₺₺
"Kaynarca, Aydınlı Yolu Cd No: 114/A, 34890 Pendik/İstanbul",444 8 464,40.8756194,29.2498185,4.5,https://maps.google.com/?cid=14136346009463255749,https://espressolab.com/,432.0,Espressolab Pendik,Çay/Kahve,₺₺
"Akdeniz Caddesi 3 Altkaynarca, Kaynarca, 34000 Pendik/İstanbul",(0216) 490 02 02,40.8762295,29.2560833,4.6,https://maps.google.com/?cid=13578503647965917288,,222.0,Peanut Waffle Belgium Kaynarca,Çay/Kahve,
"Kaynarca, Aydınlı Yolu Cd 230/A, 34890 Pendik/İstanbul",0537 776 44 47,40.8723774,29.2639189,4.6,https://maps.google.com/?cid=5608420463945067652,,262.0,"Meşhur Kaynarca Pilavcısı, Pendik (Kaynarca Mah.)",Restoran,
"Fevzi Çakmak, Erzincan Cd. No:2 D:9, 34899 Pendik/İstanbul",0530 419 11 93,40.8776502,29.2630337,4.8,https://maps.google.com/?cid=17987442155097959765,http://www.skozelguvenlik.com/,210.0,SK ÖZEL GÜVENLİK & GÜVENLİK KURSU,,
"Kordonboyu, Ankara Cd. 147 B, 34860 Kartal/İstanbul",0501 161 32 01,40.88408580000001,29.2081591,4.5,https://maps.google.com/?cid=2797408732036170801,http://thehunger.com.tr/,1306.0,The Hunger İst Marina AVM,Restoran,₺₺₺
"Yeni, Süreyyapaşa Cd No:90, 34893 Pendik/İstanbul",0554 173 01 13,40.8850875,29.2242269,4.5,https://maps.google.com/?cid=13620147210062955953,,219.0,Altın Konak Fırın & Cafe,Fırın,
